book_availability_id,library_id,book_id,copies
673675739,543,39765,9
129619664,543,22359,8
932726744,543,97795,1
444752824,657,88317,8
766562751,543,34442,4
523977792,233,45684,3
551961485,543,42898,2
419429743,985,94779,8
524665494,234,68239,8
642173155,233,12668,8
941251124,657,23394,6
527554159,233,11674,9
293745825,234,17782,6
296444196,543,92169,5
795398351,657,34211,3
375915749,234,83773,9
232292444,543,94938,3
343768916,657,16192,9
492544272,543,33957,4
915944755,234,41749,6
214516918,234,38284,6
983261191,543,34526,7
283218197,233,34277,5
767742449,543,33753,9
195248377,233,57899,7
996383674,543,36731,5
855814331,234,35114,3
941136982,233,31317,4
577814157,233,55788,8
872131956,543,11257,4
334927918,985,48494,2
684674941,657,41834,4
532594536,657,33755,1
262474512,234,82447,8
939164193,234,26413,1
328763665,234,98517,4
962979946,543,72917,6
796863383,233,22331,1
938697698,657,66394,6
653739277,233,49577,6
339446494,233,57176,6
517748175,543,72138,4
642837451,543,17117,5
989116878,234,71396,6
578942461,234,21774,2
359635618,234,94793,4
923595692,234,43775,7
229477398,985,57576,4
291633263,985,25389,3
133937936,234,14825,2
785591772,233,87976,9
492672865,543,59257,7
261526254,234,29577,5
726256677,985,69362,3
353329832,657,97175,1
122277153,233,46895,8
694738673,234,26626,8
349313593,234,17594,6
494722725,233,23577,1
456773779,985,53841,6
873199989,657,35718,6
326267537,543,24998,8
476116231,543,89456,1
862439116,657,36317,9
898925239,657,97353,3
724168479,657,76848,8
263433865,234,34634,6
579194468,543,14515,2
633215962,985,13826,6
474298146,543,69764,8
827658254,234,76492,3
246967916,985,17911,2
255866749,233,79399,8
851755537,985,39662,7
499553942,233,46127,5
135948728,233,89936,6
781465155,543,99684,4
571381923,985,33672,1
262186227,233,28316,1
572392319,233,24619,5
176617985,657,41716,2
441237132,543,29664,8
723522113,657,19634,2
123626942,233,53479,1
852794748,233,58941,1
648615167,233,48886,4
225745949,657,89946,4
123198881,233,43618,5
948984421,543,55733,6
384197391,233,95345,3
295498968,985,61784,9
147484981,233,58842,8
678119475,234,34544,2
855718611,543,89232,4
437964171,234,16685,2
517537196,657,21357,4
784252385,985,46651,2
357856116,543,87225,5
756821985,543,35726,9
617569384,985,68821,9
786568758,233,24621,3
261729171,985,73252,4
976721936,543,81277,3
486272756,234,52655,6
918718238,234,72686,4
235531518,657,82429,8
368668883,657,25941,6
769964787,233,86497,7
499875316,543,77783,1
356846672,657,33228,4
614916978,234,65337,4
835598129,234,55727,3
397417838,657,35732,6
437726517,233,22545,8
621928644,657,95323,2
971273896,233,45842,6
211938291,985,61984,4
217337636,234,43167,2
672733164,234,85353,5
747961376,234,27351,9
216321633,543,21415,6
876985553,234,92339,6
393213955,985,42824,4
733236484,233,13222,2
488298755,657,23448,5
344597631,234,85337,4
636165835,657,13413,5
483154988,234,97722,6
216376837,657,16245,4
588543761,543,35899,7
744618222,234,77986,1
475719936,543,29733,3
267649773,543,59797,6
953835337,543,34819,7
112912345,985,65916,8
216271318,233,73688,5
917161419,657,99915,5
521378414,543,41365,2
621338431,233,53562,5
762321754,543,92697,1
824871341,985,26971,1
855423618,657,36839,3
799311349,234,38162,5
847793542,657,96427,7
111858532,985,94225,9
152252499,233,26541,5
135468193,233,78747,8
863316953,234,25827,3
452341654,234,16723,8
614872465,543,36541,3
618267559,234,42375,4
983895398,657,38615,3
961262733,234,54532,9
289188231,657,57665,6
149971177,657,24986,8
592637284,985,11577,5
826834266,233,65267,6
862265211,543,67135,2
